beta,n_1,s_1,s_2,group,stable
3.96,5,0.316,0.316,1.0,True
3.96,5,0.427,0.134,2.0,False
4.0,1,0.316,0.316,1.0,True
4.0,1,0.998,0.02,2.0,True
4.0,2,0.316,0.316,1.0,True
4.0,2,0.699,0.053,2.0,False
4.0,3,0.316,0.316,1.0,True
4.0,3,0.564,0.082,2.0,False
4.0,4,0.316,0.316,1.0,True
4.0,4,0.482,0.108,2.0,False
4.0,5,0.316,0.316,1.0,True
4.0,5,0.428,0.13,2.0,False
4.04,1,0.316,0.316,1.0,True
4.04,1,0.998,0.019,2.0,True
4.04,2,0.316,0.316,1.0,True
4.04,2,0.7,0.051,2.0,False
4.04,3,0.316,0.316,1.0,True
4.04,3,0.564,0.08,2.0,False
4.04,4,0.316,0.316,1.0,True
4.04,4,0.483,0.105,2.0,False
4.04,5,0.316,0.316,1.0,True
4.04,5,0.429,0.126,2.0,False
4.08,1,0.316,0.316,1.0,True
4.08,1,0.998,0.018,2.0,True
4.08,2,0.316,0.316,1.0,True
4.08,2,0.7,0.049,2.0,False
4.08,3,0.316,0.316,1.0,True
4.08,3,0.565,0.077,2.0,False
4.08,4,0.316,0.316,1.0,True
4.08,4,0.484,0.102,2.0,False
4.08,5,0.316,0.316,1.0,True
4.08,5,0.43,0.123,2.0,False
4.12,1,0.316,0.316,1.0,True
4.12,1,0.999,0.018,2.0,True
4.12,2,0.316,0.316,1.0,True
4.12,2,0.701,0.048,2.0,False
4.12,3,0.316,0.316,1.0,True
4.12,3,0.566,0.075,2.0,False
4.12,4,0.316,0.316,1.0,True
4.12,4,0.485,0.099,2.0,False
4.12,5,0.316,0.316,1.0,True
4.12,5,0.431,0.119,2.0,False
4.16,1,0.316,0.316,1.0,True
4.16,1,0.999,0.017,2.0,True
4.16,2,0.316,0.316,1.0,True
4.16,2,0.701,0.046,2.0,False
4.16,3,0.316,0.316,1.0,True
4.16,3,0.567,0.073,2.0,False
4.16,4,0.316,0.316,1.0,True
4.16,4,0.486,0.096,2.0,False
4.16,5,0.316,0.316,1.0,True
4.16,5,0.432,0.116,2.0,False
4.2,1,0.316,0.316,1.0,True
4.2,1,0.999,0.016,2.0,True
4.2,2,0.316,0.316,1.0,True
4.2,2,0.702,0.044,2.0,False
4.2,3,0.316,0.316,1.0,True
